sent_utc,latency_ms,status,probability,label,model_version
2026-09-26T05:23:52.482+00:00,53.95,200,0.03404048458069872,0,1
2026-09-26T05:23:52.484+00:00,56.2,200,0.01518909498833418,0,1
2026-09-26T05:23:52.497+00:00,54.07,200,0.2430185895044239,0,1
2026-09-26T05:23:52.512+00:00,49.56,200,0.038403658674218535,0,1
2026-09-26T05:23:52.524+00:00,51.0,200,0.12535491707453825,0,1
2026-09-26T05:23:52.522+00:00,53.63,200,0.09683711429107163,0,1
2026-09-26T05:23:52.536+00:00,58.95,200,0.08492873167002023,0,1
2026-09-26T05:23:52.540+00:00,55.9,200,0.04476833378720655,0,1
2026-09-26T05:23:52.551+00:00,51.52,200,0.435571600621079,1,1
2026-09-26T05:23:52.602+00:00,115.12,200,0.03313739590002072,0,1
2026-09-26T05:23:52.562+00:00,156.73,200,0.3276917741248524,0,1
2026-09-26T05:23:52.595+00:00,124.84,200,0.01696326071192877,0,1
2026-09-26T05:23:52.576+00:00,144.89,200,0.015892336731407792,0,1
2026-09-26T05:23:52.575+00:00,146.89,200,0.052363944367950215,0,1
2026-09-26T05:23:52.596+00:00,126.13,200,0.08198296384620607,0,1
2026-09-26T05:23:52.722+00:00,79.41,200,0.1012222502735698,0,1
2026-09-26T05:23:52.720+00:00,81.6,200,0.05134986912720074,0,1
2026-09-26T05:23:52.718+00:00,98.43,200,0.0199768721865122,0,1
2026-09-26T05:23:52.722+00:00,95.97,200,0.2590221511435594,1,1
2026-09-26T05:23:52.721+00:00,97.87,200,0.09952648763121288,0,1
2026-09-26T05:23:52.717+00:00,102.77,200,0.013418594541426054,0,1
2026-09-26T05:23:52.801+00:00,64.19,200,0.014940626900470632,0,1
2026-09-26T05:23:52.802+00:00,63.76,200,0.2615469132545658,0,1
2026-09-26T05:23:52.820+00:00,67.84,200,0.09722038600297096,0,1
2026-09-26T05:23:52.817+00:00,82.16,200,0.019380273806840737,0,1
2026-09-26T05:23:52.818+00:00,81.28,200,0.460600702392691,1,1
2026-09-26T05:23:52.819+00:00,82.48,200,0.030835071596552834,0,1
2026-09-26T05:23:52.866+00:00,56.08,200,0.12675315165196913,0,1
2026-09-26T05:23:52.865+00:00,57.26,200,0.02850789688611162,0,1
2026-09-26T05:23:52.888+00:00,52.17,200,0.02424586987089915,0,1
2026-09-26T05:23:52.899+00:00,52.47,200,0.13825181172054873,0,1
2026-09-26T05:23:52.899+00:00,71.76,200,0.21736095093337898,0,1
2026-09-26T05:23:52.901+00:00,71.89,200,0.05011480631930152,0,1
2026-09-26T05:23:52.922+00:00,66.93,200,0.033929764506820656,0,1
2026-09-26T05:23:52.922+00:00,68.97,200,0.09683711429107163,0,1
2026-09-26T05:23:52.940+00:00,59.93,200,0.013360595635445047,0,1
2026-09-26T05:23:52.951+00:00,53.54,200,0.0805900162803126,0,1
2026-09-26T05:23:52.971+00:00,58.36,200,0.13940612133864472,0,1
2026-09-26T05:23:52.973+00:00,57.72,200,0.06223142288320842,0,1
2026-09-26T05:23:52.989+00:00,57.26,200,0.03135858865116979,0,1
2026-09-26T05:23:53.000+00:00,54.77,200,0.14611593425409922,0,1
2026-09-26T05:23:53.005+00:00,63.67,200,0.019615834999757043,0,1
2026-09-26T05:23:52.991+00:00,78.01,200,0.0272163128321758,0,1
2026-09-26T05:23:53.030+00:00,63.42,200,0.2637541419576141,0,1
2026-09-26T05:23:53.031+00:00,62.34,200,0.013911316205004192,0,1
